#GADA 1.0
# NumArgs = 12 
# CallStr = GADA -a 0.8 -T 5 -M 3 -s -0.2 -b 0.0 -c 
# Parsing Arguments: 
# a= 0.8 
# T= 5 
# MinLen= 3 
# sigma2= -0.2 
# BaseAmp= 0 
# -c option activated to classify segments into altered states
#Parameter setting: a=0.8,T=5,MinLen=3,sigma2=-0.2,BaseAmp=0
# Reading M=80000 probes in input file
#      SBL: Converged after 434 iterations within tolerance 1e-010, M=480 
# Overall mean 0.00135799
# Sigma^2=0.207949
# Found 480 breakpoints after SBL
# Kept 440 breakpoints after BE
# Making segments
# BaseAmp=0 
# Classify Segments 
Start	Stop	Lenght	Ampl	State
1	25	25	0.881578	G
26	75	50	-1.08218	L
76	125	50	1.04644	G
126	175	50	-0.973855	L
176	225	50	0.933876	G
226	275	50	-0.937779	L
276	326	51	0.9428	G
327	375	49	-1.18705	L
376	427	52	0.948964	G
428	477	50	-1.03237	L
478	528	51	1.00989	G
529	579	51	-1.058	L
580	629	50	1.00578	G
630	680	51	-0.966516	L
681	731	51	0.880261	G
732	782	51	-0.981674	L
783	833	51	0.932233	G
834	884	51	-0.993423	L
885	935	51	0.972748	G
936	987	52	-0.952707	L
988	1038	51	1.00063	G
1039	1089	51	-1.11525	L
1090	1141	52	0.972132	G
1142	1192	51	-1.01337	L
1193	1240	48	0.989811	G
1241	1640	400	-0.024666	N
1641	1659	19	0.942951	G
1660	1711	52	-1.03298	L
1712	1763	52	1.03256	G
1764	1800	37	-0.920106	L
1801	2203	403	-0.0100836	N
2204	2237	34	-1.09224	L
2238	2290	53	1.08781	G
2291	3008	718	0.0102065	N
3009	3018	10	1.05505	G
3019	3789	771	-0.0189048	N
3790	3806	17	0.783977	G
3807	3861	55	-1.07919	L
3862	3916	55	0.905778	G
3917	3972	56	-1.06105	L
3973	4027	55	0.92147	G
4028	4083	56	-1.05122	L
4084	4138	55	1.03442	G
4139	4194	56	-0.929501	L
4195	4213	19	1.02197	G
4214	4614	401	0.00585672	N
4615	4644	30	-1.09168	L
4645	4701	57	0.999008	G
4702	4757	56	-1.04801	L
4758	4769	12	1.08713	G
4770	5239	470	0.00902059	N
5240	5272	33	1.05266	G
5273	5330	58	-1.02376	L
5331	5387	57	0.935378	G
5388	5445	58	-1.03536	L
5446	5503	58	1.02264	G
5504	5561	58	-1.05859	L
5562	5619	58	1.04326	G
5620	5677	58	-1.03637	L
5678	5715	38	0.939118	G
5716	6116	401	0.00207372	N
6117	6147	31	-1.0037	L
6148	6206	59	0.970263	G
6207	6265	59	-0.976912	L
6266	6325	60	0.963748	G
6326	6384	59	-0.939701	L
6385	6445	61	1.01962	G
6446	6503	58	-1.02794	L
6504	6563	60	1.0506	G
6564	6623	60	-1.04006	L
6624	6677	54	0.990064	G
6678	7243	566	-0.00900357	N
7244	7289	46	1.09673	G
7290	7350	61	-0.995725	L
7351	7411	61	1.14703	G
7412	7473	62	-1.10337	L
7474	7534	61	1.05019	G
7535	7595	61	-1.0314	L
7596	7658	63	0.912745	G
7659	7719	61	-1.00825	L
7720	7733	14	1.05229	G
7734	8299	566	-0.0165982	N
8300	8345	46	-0.913965	L
8346	8408	63	0.960199	G
8409	8472	64	-1.01124	L
8473	8496	24	1.04935	G
8497	9290	794	0.00348716	N
9291	9307	17	1.22587	G
9308	9373	66	-1.043	L
9374	9388	15	1.1844	G
9389	10049	661	-0.00108517	N
10050	10100	51	1.08028	G
10101	10167	67	-1.0328	L
10168	10234	67	0.966172	G
10235	10241	7	-1.05904	L
